OBJECTID,Country,Feature Description,Feature Name,Installation Identifier,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Metadata Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,Shape__Area,Shape__Length
717,usa,na,McLaughlin ANGB,LYBH,No,No,No,na,na, ,75f13f38-c695-4f02-8ed2-9196a45c688a,MCLAUGHLIN ANGB,act,airNationalGuard,WV,5.15226815878123E-05,0.0361692397275382
718,usa,na,New Castle Airport,JLWS,No,No,No,na,na, ,038156bf-0cac-4bc6-b263-3bdc366c117a,New Castle Airport,act,airNationalGuard,DE,3.28660842114914E-05,0.0347480735124437
719,usa,na,Jacksonville IAP,LSGA,No,No,No,na,na, ,,Jacksonville IAP,act,airNationalGuard,FL,0.000206323435122613,0.0944912775020575
720,usa,na,W K Kellogg,MBMV,No,No,No,na,na, ,,W K Kellogg,act,airNationalGuard,MI,0.000140761520015076,0.134292672445584
721,usa,na,Hancock Field,HAAW,No,No,No,na,na, ,,Hancock Field,act,airNationalGuard,NY,0.000159467856747142,0.104809860791704
722,usa,na,Bangor IAP,FKNN,No,No,No,na,na, ,,Bangor IAP,act,airNationalGuard,ME,0.000124870229228691,0.0875839391482991
723,usa,na,General Wayne A Downing Peoria IAP,JLQN,No,No,No,na,na, ,626deefb-281b-467d-b2dc-de112bad6ef3,General Wayne A Downing Peoria IAP,act,airNationalGuard,IL,0.000155851468662149,0.0632993969817122
724,usa,na,Hulman Fld,LDXF,No,No,No,na,na, ,,Hulman Fld,act,airNationalGuard,IN,4.10817558531562E-05,0.0532955785266363
725,usa,na,Toledo/Exp Airport,WYTD,No,No,No,na,na, ,,Toledo/Exp Airport,act,airNationalGuard,OH,5.91536877436738E-05,0.0509919139745503
726,usa,na,Truax ANGB,XGFG,No,No,No,na,na, ,,Truax ANGB,act,airNationalGuard,WI,6.78296264595701E-05,0.0533317720099376
728,usa,na,Francis S Gabreski Airport,WKVB,No,No,No,na,na, ,,Francis S Gabreski Airport,act,airNationalGuard,NY,3.87693066841166E-05,0.0757870360075344
729,usa,na,Volk ANGB,YAQF,No,No,No,na,na, ,,Volk ANGB,act,airNationalGuard,WI,0.00431685549028771,0.489964686806933
730,usa,na,Hardwood Range,YAQF,No,Yes,No,na,na, ,,Hardwood Weapons Range (ANG),act,airNationalGuard,WI,0.00331098361630211,0.287943320008041
731,usa,na,Smoky Hill ANG Range,VUBV,No,No,No,na,na, ,,Smoky Hill ANG Range,act,airNationalGuard,KS,0.0142227718708909,0.637550930587354
732,usa,na,Capital Airport,DCFT,No,No,No,na,na, ,,Capital Airport,act,airNationalGuard,IL,4.00881192490488E-05,0.0306978765542213
733,usa,na,Salt Lake City IAP,USEB,No,No,No,na,na, ,,Salt Lake City IAP,act,airNationalGuard,UT,6.04449696766096E-05,0.0338341340609482
734,usa,na,Goldwater ANGB,VTNB,No,No,No,na,na, ,,Goldwater ANGB,act,airNationalGuard,AZ,2.36240450703917E-05,0.0238877929269821
